Estação;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;
Corinthians-Itaquera;64;70;73;72;73;73;70;75;76;73
Artur Alvim;47;53;55;55;55;56;52;55;56;56
Patriarca-Vila Ré;18;21;22;22;22;22;21;22;22;22
Guilhermina-Esperança ;18;20;21;21;21;21;20;22;22;21
Vila Matilde ;22;26;27;27;27;27;25;27;27;27
Penha-Lojas Besni;23;27;28;28;28;28;25;28;29;28
Carrão-Assaí Atacadista ;35;47;51;51;50;46;39;49;51;45
Tatuapé;101;88;75;74;74;75;66;75;76;76
Belém ;32;36;37;37;37;37;35;37;38;43
Bresser-Moóca ;25;29;32;32;31;30;27;31;32;31
Brás;48;65;76;75;74;76;74;75;75;76
Pedro II ;14;15;15;15;15;15;15;15;15;15
Sé¹;172;198;207;207;205;202;188;204;208;209
Anhangabaú;45;48;51;51;51;51;49;51;52;51
República;107;118;120;122;121;120;115;120;121;121
Santa Cecília ;19;22;23;23;23;23;21;23;23;23
Marechal Deodoro ;22;25;26;26;26;26;24;26;26;26
Palmeiras-Barra Funda;126;141;144;143;136;132;123;129;135;137
